Country,UrbanArea,Population,Year,BaseYearPopulationEstimate,LandAreaSquareMiles,Density,LandAreaKm2,Density,BaseYear,PopulationSource,LandAreaSource
China,"Nanchang, JX","2637000",2015,"2325000",210,"12600",544,"4800",2010,C,B
United States,"Tampa-St. Petersburg, FL","2621000",2015,"2442000",957,"2600","2479","1100",2010,A,A
Mozambique,Maputo,"2615000",2015,"2425000",160,"16300",414,"6300",2010,C,B
China: Taiwan,Kaohsiung,"2599000",2015,"2500000",140,"18600",363,"7200",2004,C,B
Algeria,Algiers,"2590000",2015,"2590000",175,"14800",453,"5700",2015,D,B
China,"Nanning, GX","2590000",2015,"2150000",118,"21900",306,"8500",2010,C,B
Japan,Sapporo,"2570000",2015,"2570000",240,"10700",622,"4100",2015,D,B
Syria,Damascus,"2560000",2015,"2560000",70,"36600",181,"14100",2015,D,B
United States,"Denver, CO","2559000",2015,"2374000",668,"3600","1730","1500",2010,A,A
Brazil,Brasilia,"2536000",2015,"2300000",260,"9800",673,"3800",2010,C,B
Philippines,Cebu,"2535000",2015,"2325000",80,"31700",207,"12200",2010,C,B
Japan,Fukuoka,"2525000",2015,"2550000",205,"12300",531,"4800",2010,C,B
United Kingdom,Birmingham,"2512000",2015,"2441000",231,"10600",599,"4200",2011,A,A
Pakistan,Rawalpindi-Islamabad,"2510000",2015,"2510000",165,"15200",427,"5900",2015,D,B
Ghana,Kumasi,"2500000",2015,"2500000",130,"19200",337,"7400",2015,C,B
Mali,Bamako,"2500000",2015,"2500000",120,"20800",311,"8000",2015,D,B
India,"Coimbatore, TN","2481000",2015,"2151000",110,"22600",285,"8700",2011,A,B
Jordan,Amman,"2468000",2015,"2300000",133,"18600",344,"7200",2000,C,B
China,"Linyi, SD","2465000",2015,"2200000",350,"7000",907,"2700",2010,C,B
Haiti,Port-au-Prince,"2440000",2015,"2440000",66,"37000",171,"14300",2015,D,B
Nigeria,Abuja,"2440000",2015,"2440000",87,"28000",225,"10800",2015,D,B
China,"Shantou, GD","2419000",2015,"2225000",140,"17300",363,"6700",2010,C,B
India,"Indore, MP","2405000",2015,"2167000",105,"22900",272,"8800",2011,A,B
Madagascar,Antananarivo,"2398000",2015,"1875000",85,"28200",220,"10900",2010,C,B
India,"Kozhikode, KL","2394000",2015,"2030000",46,"52000",119,"20100",2011,A,B
Iran,Esfahan,"2392000",2015,"2225000",135,"17700",350,"6800",2011,C,B
China,"Chaoyang-Chaonan (Shantou,) GD","2391000",2010,"2200000",105,"22800",272,"8800",2010,C,B
South Korea,Daegu,"2382000",2015,"2400000",95,"25100",246,"9700",2010,C,B
China,"Tangshan, HEB","2378000",2015,"1960000",107,"22200",277,"8600",2010,C,B
India,"Kochi, KL","2374000",2015,"2118000",170,"14000",440,"5400",2011,A,B
Colombia,Cali,"2357000",2015,"2000000",73,"32300",189,"12500",2005,C,B
China,"Shaoxing, ZJ","2350000",2015,"1970000",185,"12700",479,"4900",2010,C,B
Nigeria,Port Harcourt,"2340000",2015,"2340000",61,"38400",158,"14800",2015,D,B
China,"Huai'an, JS","2282000",2015,"1770000",57,"40000",148,"15500",2010,C,B
Canada,"Vancouver, BC","2273000",2015,"2135000",444,"4800","1150","2000",2011,A,A
United States,"Baltimore, MD","2263000",2015,"2204000",717,"3100","1857","1200",2010,A,A
Uzbekistan,Tashkent,"2250000",2015,"2250000",205,"11000",531,"4200",2015,D,B
Ukraine,Kiyev,"2241000",2015,"2940000",210,"10700",544,"4100",2050,D,B
India,"Thrissur, KL","2236000",2015,"1854000",140,"16000",363,"6200",2011,A,B
China,"Hohhot, NM","2219000",2015,"1875000",155,"14300",401,"5500",2010,C,B
Zimbabwe,Harare,"2203000",2015,"2150000",320,"6900",829,"2700",2012,C,B
India,"Patna, BR","2200000",2015,"2047000",55,"40000",142,"15400",2011,A,B
Lebanon,Beirut,"2200000",2015,"2200000",260,"8500",673,"3300",2015,D,B
United States,"Las Vegas, NV","2191000",2015,"1886000",417,"4500","1080","2000",2010,A,A
Poland,Katowice-Gliwice-Tychy,"2190000",2015,"2225000",260,"8400",673,"3300",2011,C,B
Zambia,Lusaka,"2190000",2015,"2190000",69,"31700",179,"12300",2015,D,B
United States,"St. Louis, MO-IL","2186000",2015,"2151000",924,"2300","2393",9002010,A,A
Sri Lanka,Colombo,"2180000",2015,"2000000",86,"25300",223,"9800",2001,C,B
China,"Baotou, NM","2159000",2015,"1950000",145,"14900",376,"5700",2010,C,B
US: Puerto Rico,San Juan,"2139000",2015,"2148000",867,"2500","2246","1000",2010,A,A
Cuba,Havana,"2130000",2015,"2130000",110,"19400",285,"7500",2015,D,B
Pakistan,Gujranwala,"2120000",2015,"2120000",57,"37200",148,"14400",2015,D,B
Somalia,Mogadishu,"2120000",2015,"2120000",35,"60600",91,"23400",2015,D,B
Brazil,Goiania,"2117000",2015,"1925000",270,"7800",699,"3000",2010,C,B
Bolivia,Santa Cruz,"2110000",2015,"1815000",230,"9200",596,"3500",2011,C,B
India,"Malappuram, KL","2108000",2015,"1698000",125,"16900",324,"6500",2011,A,B
Germany,Cologne-Bonn,"2104000",2015,"1960000",360,"5800",932,"2300",2001,C,B
Belgium,Brussels,"2089000",2015,"2025000",310,"6700",803,"2600",2011,C,B
Mexico,Puebla,"2088000",2015,"1925000",170,"12300",440,"4700",2010,C,B
Germany,Hamburg,"2087000",2015,"2050000",300,"7000",777,"2700",2011,C,B
India,"Bhopal, MP","2075000",2015,"1883000",70,"29600",181,"11400",2011,A,B
India,"Kannur, KL","2047000",2015,"1643000",35,"58500",91,"22600",2011,A,B
United States,"Orlando, FL","2040000",2015,"1825000",756,"2400","1958","1000",2010,N,N
Venezuela,Maracaibo,"2037000",2015,"1920000",157,"13000",407,"5000",2011,C,B
China,"Handan, HEB","2000000",2015,"1630000",65,"30800",168,"11900",2010,C,B
Congo (Dem. Rep.),Lubumbashi,"2000000",2015,"2000000",60,"33300",155,"12900",2015,D,B
Congo (Dem. Rep.),Mbuji-Mayi,"2000000",2015,"2000000",47,"42600",122,"16400",2015,D,B
Australia,"Brisbane, QLD","1999000",2015,"1874000",761,"2500","1972","1000",2011,A,A
Tunisia,Tunis,"1990000",2015,"1990000",140,"14200",363,"5500",2015,D,B
China,"Haikou, HA","1981000",2015,"1600000",120,"16500",311,"6400",2010,C,B
Germany,Munich,"1981000",2015,"1900000",180,"11000",466,"4200",2011,C,B
Japan,Kitakyushu,"1980000",2010,"2000000",190,"10400",492,"4000",2010,C,B
Brazil,Belem,"1979000",2015,"1850000",100,"19800",259,"7600",2010,C,B
United States,"Portland, OR-WA","1976000",2015,"1850000",524,"3500","1357","1500",2010,A,A
United States,"San Antonio, TX","1976000",2015,"1758000",597,"2900","1546","1300",2010,A,A
Mexico,Tijuana,"1968000",2015,"1760000",180,"10900",466,"4200",2010,D,B
India,"Vadodara, GJ","1963000",2015,"1817000",53,"37000",137,"14300",2011,A,B
Togo,Lome,"1941000",2015,"1670000",80,"24300",207,"9400",2010,F,B
China,"Luoyang, HEN","1939000",2015,"1670000",85,"22800",220,"8800",2010,C,B
India,"Agra, UP","1938000",2015,"1746000",50,"38800",130,"15000",2011,A,B
Guinea,Conakry,"1930000",2015,"1930000",62,"31100",161,"12000",2015,D,B
Uganda,Kampala,"1930000",2015,"1930000",190,"10200",492,"3900",2015,D,B
India,"Thiruvananthapuram, KL","1921000",2015,"1687000",55,"34900",142,"13500",2011,A,B
Germany,Frankfurt,"1915000",2015,"1850000",250,"7700",648,"3000",2011,C,B
Belarus,Minsk,"1910000",2015,"1910000",125,"15300",324,"5900",2015,D,B
India,"Visakhapatnam, AP","1910000",2015,"1730000",70,"27300",181,"10500",2011,A,B
Bolivia,La Paz,"1907000",2015,"1800000",105,"18200",272,"7000",2011,C,B
Pakistan,Multan,"1900000",2015,"1900000",80,"23800",207,"9200",2015,D,B
Brazil,Manaus,"1893000",2015,"1700000",125,"15100",324,"5800",2010,C,B
United Kingdom,Leeds-Bradford,"1893000",2015,"1778000",188,"9400",488,"3900",2011,A,A
United States,"Sacramento, CA","1885000",2015,"1724000",471,"3700","1220","1500",2010,A,A
Mexico,Toluca,"1878000",2015,"1700000",105,"17900",272,"6900",2010,D,B
Iran,Shiraz,"1873000",2015,"1650000",95,"19700",246,"7600",2011,C,B
Romania,Bucharest,"1860000",2015,"1860000",110,"16900",285,"6500",2015,D,B
Congo,Brazzaville,"1850000",2015,"1850000",70,"26400",181,"10200",2015,D,B
Morocco,Rabat,"1845000",2015,"1500000",71,"26000",184,"10000",2004,C,B
Turkey,Bursa,"1839000",2015,"1650000",80,"23000",207,"8900",2011,C,B
Indonesia,Yogyakarta,"1831000",2015,"1800000",90,"20300",233,"7900",2010,C,B
Turkey,Adana,"1830000",2015,"1830000",62,"29500",161,"11400",2015,D,B
China,"Kunshan (Suzhou), JS","1815000",2015,"1475000",215,"8400",557,"3300",2010,C,B
United States,"Cleveland, OH","1783000",2015,"1781000",772,"2300","1999",9002010,A,A
Austria,Vienna,"1763000",2015,"1710000",175,"10100",453,"3900",2010,C,B
China,"Huizhou, GD","1763000",2015,"1400000",80,"22000",207,"8500",2010,C,B
Australia,"Perth, WA","1751000",2015,"1628000",605,"2700","1566","1100",2011,A,A
India,"Nashik, MH","1749000",2015,"1563000",43,"40700",111,"15700",2011,A,B
Colombia,Barranquilla,"1748000",2015,"1550000",69,"25300",179,"9800",2005,C,B
Pakistan,Peshawar,"1730000",2015,"1730000",45,"38400",117,"14800",2015,D,B
United States,"Pittsburgh, PA","1730000",2015,"1734000",905,"1900","2344",7002010,A,A
Cambodia,Phnom Penh,"1729000",2015,"1510000",85,"20300",220,"7900",2010,D,B
Ecuador,Quito,"1720000",2015,"1720000",185,"9300",479,"3600",2015,D,B
Poland,Warsaw,"1720000",2015,"1720000",210,"8200",544,"3200",2015,D,B
India,"Vijayawada, AP","1715000",2015,"1491000",22,"78000",57,"30100",2011,A,B
India,"Ludhiana, PB","1714000",2015,"1613000",65,"26400",168,"10200",2011,A,B
Hungary,Budapest,"1710000",2015,"1710000",345,"5000",894,"1900",2015,D,B
China,"Datong, SAX","1709000",2015,"1520000",70,"24400",181,"9400",2010,C,B
China,"Yiwu (Jinhua), ZJ","1704000",2015,"1400000",90,"18900",233,"7300",2010,C,B
Uruguay,Montevideo,"1700000",2015,"1700000",100,"17000",259,"6600",2015,D,B
Iran,Tabriz,"1693000",2015,"1600000",65,"26000",168,"10100",2011,C,B
Malaysia,Johor Bahru,"1688000",2015,"1500000",275,"6100",712,"2400",2010,C,B
United States,"Cincinnati, OH-KY-IN","1682000",2015,"1625000",788,"2100","2041",8002010,A,A
Iraq,Mosul,"1675000",2015,"1675000",54,"31000",140,"12000",2015,D,B
Brazil,Santos,"1653000",2015,"1575000",115,"14400",298,"5500",2010,C,B
Saudi Arabia,Mecca,"1647000",2015,"1480000",150,"11000",389,"4200",2010,C,B
China,"Zibo, SD","1646000",2015,"1525000",135,"12200",350,"4700",2010,C,B
Syria,Hims,"1640000",2015,"1640000",32,"51300",83,"19800",2015,D,B
China,"Jilin, JL","1633000",2015,"1550000",75,"21800",194,"8400",2010,C,B
Indonesia,Semarang,"1630000",2015,"1630000",105,"15500",272,"6000",2015,D,B
Philippines,Davao City,"1630000",2015,"1630000",50,"32600",130,"12600",2015,D,B
Netherlands,Amsterdam,"1624000",2015,"1600000",195,"8300",505,"3200",2013,C,B
United States,"Indianapolis, IN","1617000",2015,"1487000",706,"2100","1829",9002010,A,A
United States,"Austin, TX","1616000",2015,"1362000",523,"2600","1355","1200",2010,A,A
China,"Yinchuan, NX","1614000",2015,"1200000",132,"12200",342,"4700",2010,C,B
South Korea,Gwangju,"1601000",2015,"1536000",49,"32700",127,"12600",2010,D,B
China,"Weifang, SD","1595000",2015,"1350000",95,"16800",246,"6500",2010,C,B
United States,"Kansas City, MO-KS","1593000",2015,"1519000",678,"2200","1756",9002010,A,A
Argentina,Cordoba,"1585000",2015,"1532000",140,"11300",363,"4400",2010,C,B
China,"Taizhou, ZJ","1585000",2015,"1375000",90,"17600",233,"6800",2010,C,B
France,Lyon,"1583000",2015,"1520000",455,"3500","1178","1300",2010,C,B
India,"Madurai, TN","1582000",2015,"1462000",29,"54600",75,"21100",2011,A,B
Philippines,General Santos,"1579000",2015,"1400000",29,"54400",75,"21000",2010,C,B
China,"Liuzhou, GX","1574000",2015,"1375000",80,"19700",207,"7600",2010,C,B
India,"Rajkot, GJ","1568000",2015,"1390000",29,"54100",75,"20900",2011,A,B
