"city name","country name","most active airport","long. most active airport","lat. most active airport","number of routes","number incoming flights","number outcoming flights","number incoming domestic flights","number outcoming domestic flights","number incoming international flights","number outcoming international flights","only domestic flights","average distance","max. distance","airportCode"
Nawabshah,Pakistan,Nawabshah,68.65,26.365,8,4,5,4,4,0,0,1,311,846,WNS
Gwadar,Pakistan,Gwadar,62.549,25.388,8,3,5,2,4,1,1,0,395,745,GWD
Bahawalpur,Pakistan,Bahawalpur Airport,72.196,29.58,8,4,4,4,4,0,0,1,444,663,BHV
Mont-Tremblant,Canada,Riviere Rouge - Mont-Tremblant International Inc. Airport,-74.634,46.682,8,4,5,3,3,1,1,0,339,620,YTM
Elazig,Turkey,Elazig,39.485,39.011,8,4,5,4,4,0,0,1,847,1060,EZS
Van,Turkey,Van,43.553,38.78,8,4,5,4,4,0,0,1,1017,1244,VAN
Rigolet,Canada,Rigolet Airport,-58.096,54.299,8,4,5,4,4,0,0,1,126,153,YRG
St. Anthony,Canada,St Anthony,-55.472,51.653,8,4,4,4,4,0,0,1,250,452,YAY
Phu Quoc,Vietnam,Duong Dong Airport,104.611,10.378,8,4,4,4,4,0,0,1,207,291,PQC
Dalat,Vietnam,Dalat,108.611,12.25,8,4,4,4,4,0,0,1,675,1042,DLI
Barreiras,Brazil,Barreiras Airport,-45,-11.473,8,4,4,4,4,0,0,1,679,788,BRA
Fukue,Japan,Fukue,129.388,33.11,8,4,4,4,4,0,0,1,136,158,FUJ
Norsup,Vanuatu,Norsup Airport,167.668,-15.467,8,4,5,4,4,0,0,1,122,244,NUS
Craig Cove,Vanuatu,Craig Cove Airport,168.54,-15.775,8,5,3,5,3,0,0,1,102,191,CCV
Toliara,Madagascar,Toliara,44.214,-22.973,8,4,5,3,3,1,1,0,640,1223,TLE
Maroantsetra,Madagascar,Maroantsetra,50.147,-15.062,8,4,5,4,4,0,0,1,233,471,WMN
Papa Westray,United Kingdom,Papa Westray Airport,-2.834,59.586,8,4,5,4,4,0,0,1,19,43,PPW
Kwangju,South Korea,Gwangju,127.348,35.21,8,4,5,4,4,0,0,1,224,290,KWJ
Hot Springs,United States,Memorial Field,-92.494,34.796,8,4,5,4,4,0,0,1,249,421,HOT
Dryden,Canada,Dryden Rgnl,-92.574,50.386,8,3,5,3,5,0,0,1,126,331,YHD
The Pas,Canada,The Pas Airport,-100.485,54.619,8,4,5,4,4,0,0,1,303,521,YQD
Flin Flon,Canada,Flin Flon,-101.47,55.13,8,4,4,4,4,0,0,1,344,603,YFO
Kaimana,Indonesia,Kaimana,134.159,-3.408,8,4,5,4,4,0,0,1,336,667,KNG
Rio Verde,Brazil,General leite de Castro Airport,-50.864,-17.651,8,4,5,4,4,0,0,1,313,356,RVD
Vilhena,Brazil,Vilhena,-59.498,-12.491,8,4,4,2,2,2,2,0,5098,9657,BVH
Tucurui,Brazil,Tucurui,-49.534,-3.644,8,4,5,4,4,0,0,1,273,336,TUR
Ciudad del Este,Paraguay,Ciudad del Este,-54.74,-25.093,8,4,4,2,2,2,2,0,577,904,AGT
Pavlodar,Kazakhstan,Pavlodar,77.123,52.325,8,4,5,3,3,1,1,0,1214,2517,PWQ
Leon,Spain,Leon Airport,-5.426,42.981,8,4,5,3,3,1,1,0,608,929,LEN
Concepcion,Chile,Carriel Sur Intl,-72.439,-36.622,8,4,4,4,4,0,0,1,396,494,CCP
Dunhuang,China,Dunhuang Airport,94.803,40.156,8,4,4,4,4,0,0,1,849,1407,DNH
Narssarssuaq,Greenland,Narsarsuaq,-45.044,61.267,8,4,5,4,4,0,0,1,368,692,UAK
Gorontalo,Indonesia,Jalaluddin,123.416,1.061,8,4,4,4,4,0,0,1,606,724,GTO
Palangkaraya,Indonesia,Tjilik Riwut,114.571,-1.709,8,4,5,4,4,0,0,1,849,932,PKY
Pangkal Pinang,Indonesia,Depati Amir,106.231,-1.604,8,4,5,4,4,0,0,1,432,448,PGK
Dongying,China,Dongying Airport,118.469,37.452,8,4,5,4,4,0,0,1,702,1324,DOY
Macapa,Brazil,Macapa,-50.454,0.084,8,4,5,4,4,0,0,1,283,283,MCP
Ipoh,Malaysia,Sultan Azlan Shah,101.153,4.946,8,4,4,1,1,3,3,0,388,539,IPH
Kerry,Ireland,Kerry,-9.207,52.301,8,4,5,1,1,3,3,0,673,1166,KIR
Carcassonne,France,Salvaza,2.51,43.359,8,4,4,0,0,4,4,0,1074,1300,CCF
Londonderry,United Kingdom,Londonderry Eglinton,-6.602,55.071,8,4,5,4,4,0,0,1,362,563,
Luebeck,Germany,Lubeck Blankensee,11.198,54.342,8,4,5,0,0,4,4,0,903,1431,LBC
Kiritimati,Kiribati,Christmas Island,-156.917,2.643,8,4,4,0,0,4,4,0,2839,3575,XCH
Merced,United States,Merced Municipal Airport,-120.19,37.474,8,4,4,4,4,0,0,1,288,520,MCE
Liberal,United States,Liberal Muni,-100.934,37.073,8,4,4,4,4,0,0,1,363,482,LBL
Page,United States,Page Municipal Airport,-111.081,37.543,8,4,5,4,4,0,0,1,349,425,PGA
Williston,United States,Sloulin Fld Intl,-103.404,48.296,8,4,5,4,4,0,0,1,546,877,ISN
Kearney,United States,Kearney Municipal Airport,-98.345,41.211,8,4,4,4,4,0,0,1,274,521,EAR
Vernal,United States,Vernal Regional Airport,-109.184,40.734,8,4,5,4,4,0,0,1,225,400,VEL
Makale,Ethiopia,Makale,39.889,13.778,8,4,5,4,3,0,1,0,374,787,MQX
Najaf,Iraq,Al Najaf International Airport,44.673,32.652,8,4,5,0,0,4,4,0,1285,1680,NJF
Mazar-i-sharif,Afghanistan,Mazar I Sharif,67.349,37.178,8,4,5,1,1,3,3,0,826,1486,MZR
Uralsk,Kazakhstan,Uralsk,51.905,51.251,8,4,5,3,3,1,1,0,1056,1382,URA
Kzyl-Orda,Kazakhstan,Kzyl-Orda,65.985,45.181,8,4,4,4,4,0,0,1,984,1188,KZO
Lubango,Angola,Lubango,13.958,-14.875,8,4,5,3,3,1,1,0,544,902,SDD
Grand Forks,United States,Grand Forks Intl,-96.627,48.582,8,4,4,4,4,0,0,1,1770,2536,GFK
Waterloo,United States,Waterloo,-92.001,42.928,8,4,4,4,4,0,0,1,966,2616,YKF
Maroochydore,Australia,Maroochydore Sunshine Coast,153.151,-26.339,8,4,4,4,4,0,0,1,1147,1434,
Coff's Harbour,Australia,Coffs Harbour,153.193,-29.868,8,4,4,4,4,0,0,1,599,1108,CFS
Vaxjo,Sweden,Kronoberg,15.213,57.548,8,4,5,3,3,1,1,0,466,842,VXO
Kalkmar,Sweden,Kalmar,16.479,57.142,8,4,5,4,4,0,0,1,348,348,KLR
Nanchong,China,Nanchong Airport,106.103,31.256,8,4,5,4,4,0,0,1,1317,1542,NAO
Jiujiang,China,Jiujiang Lushan Airport,116.638,30.221,8,4,5,4,4,0,0,1,752,1102,JIU
Anqing,China,Anqing Airport,117.083,30.97,8,4,4,4,4,0,0,1,727,1018,AQG
Aksu,China,Aksu Airport,80.486,41.437,8,4,4,4,4,0,0,1,685,685,AKU
Klamath Falls,United States,Klamath Falls Airport,-121.555,42.26,8,4,4,4,4,0,0,1,444,471,LMT
Kosrae,Micronesia,Kosrae,163.597,5.594,8,4,4,2,2,2,2,0,635,648,KSA
Puebla,Mexico,Hermanos Serdan Intl,-97.953,19.263,8,4,5,2,2,2,2,0,1551,2421,PBC
Yap,Micronesia,Yap Intl,138.137,9.831,8,4,5,0,0,4,4,0,665,898,YAP
Chuuk,Micronesia,Chuuk Intl,152.405,7.769,8,4,5,2,2,2,2,0,839,1023,TKK
Rota,Northern Mariana Islands,Rota Intl,145.404,14.29,8,4,5,2,2,2,2,0,93,133,ROP
Governor's Harbor,Bahamas,Governors Harbour,-75.886,25.474,8,4,5,2,2,2,2,0,238,377,GHB
Rock Springs,United States,Rock Springs Sweetwater County Airport,-108.442,41.99,8,4,5,4,4,0,0,1,360,387,RKS
Casper,United States,Natrona Co Intl,-106.108,43.513,8,4,4,4,4,0,0,1,592,1093,CPR
Lewisburg,United States,Greenbrier Valley Airport,-80,38.43,8,4,5,4,4,0,0,1,501,618,LWB
Bradford,United States,Bradford Regional Airport,-78.401,42.338,8,4,4,4,4,0,0,1,158,286,BFD
Crescent City,United States,Del Norte County Airport,-123.729,42.3,8,4,5,4,4,0,0,1,287,497,CEC
Madang,Papua New Guinea,Madang,146.314,-4.679,8,4,5,4,4,0,0,1,299,502,MAG
Moro,Papua New Guinea,Moro Airport,143.396,-5.939,8,4,5,4,4,0,0,1,341,559,MXH
Xilinhot,China,Xilinhot Airport,116.606,44.526,8,4,5,4,4,0,0,1,488,489,XIL
Pyongyang,Korea,Pyongyang Intl,126.116,39.373,8,4,4,0,0,4,4,0,1404,3711,FNJ
Palanga,Lithuania,Palanga Intl,21.156,56.622,8,4,4,0,0,4,4,0,538,710,PLQ
Lappeenranta,Finland,Lappeenranta,28.24,61.074,8,4,4,0,0,4,4,0,1496,2030,LPP
Maun,Botswana,Maun,23.718,-19.955,8,4,5,2,2,2,2,0,543,787,MUB
Dili,East Timor,Presidente Nicolau Lobato Intl,125.874,-8.245,8,4,4,0,0,4,4,0,1203,2593,DIL
Newquai,United Kingdom,St Mawgan,-4.993,50.734,8,4,5,4,4,0,0,1,219,385,NQY
Miyako,Japan,Miyako,125.491,25.304,8,4,4,4,4,0,0,1,684,1888,MMY
Victoria Falls,Zimbabwe,Victoria Falls Intl,26.398,-17.494,8,4,5,1,1,3,3,0,766,1039,VFA
Lugano,Switzerland,Lugano,9.517,46.007,8,4,5,2,2,2,2,0,349,468,LUG
Craiova,Romania,Craiova,24.481,44.53,8,4,4,2,2,2,2,0,653,1003,CRA
Humberside,United Kingdom,Humberside,0.081,53.957,8,4,5,2,2,2,2,0,320,391,HUY
Kruunupyy,Finland,Kruunupyy,23.238,64.201,8,4,5,2,2,2,2,0,281,426,KOK
Dakhla,Western Sahara,Dakhla Airport,-15.887,24.197,8,4,5,1,1,3,3,0,994,1337,VIL
Lewiston,United States,Lewiston Nez Perce Co,-116.359,46.624,8,4,5,4,4,0,0,1,373,687,LWS
St. George,United States,St. George Airport,-169.44,56.962,8,4,5,4,4,0,0,1,621,1203,STG
St. Paul Island,United States,St Paul Island,-169.701,57.278,8,4,5,4,4,0,0,1,618,1199,SNP
Rio Gallegos,Argentina,Rio Gallegos,-68.855,-51.349,8,4,5,3,3,1,1,0,1229,2037,RGL
Poza Rico,Mexico,Tajin,-97.102,21.004,8,4,5,4,4,0,0,1,372,560,PAZ
Mexicali,Mexico,General Rodolfo Sanchez Taboada Intl,-114.737,33.051,8,4,5,4,4,0,0,1,1692,2191,MXL
Los Mochis,Mexico,Valle Del Fuerte Intl,-108.469,26.141,8,4,5,4,4,0,0,1,791,1248,LMM
Kuala Terengganu,Malaysia,Sultan Mahmud,103.172,5.637,8,4,5,4,4,0,0,1,287,287,TGG
Alor Setar,Malaysia,Sultan Abdul Halim,100.663,6.316,8,4,4,4,4,0,0,1,381,381,AOR
Gwalior,India,Gwalior,78.379,26.488,8,4,5,4,4,0,0,1,628,959,GWL
Tindouf,Algeria,Tindouf,-7.612,28.167,8,4,5,4,4,0,0,1,1225,1653,TIN
Biskra,Algeria,Biskra,6.23,35.322,8,4,5,1,1,3,3,0,1159,1547,BSK
Rodez,France,Marcillac,2.804,44.679,8,4,5,3,3,1,1,0,410,819,RDZ
Ivalo,Finland,Ivalo,27.675,69.012,8,4,4,4,4,0,0,1,539,948,IVL
Cabo Frio,Brazil,Cabo Frio International Airport,-41.457,-22.87,8,4,4,4,4,0,0,1,397,526,CFB
Timmins,Canada,Timmins,-80.962,48.949,8,4,4,4,4,0,0,1,291,549,YTS
Fredericton,Canada,Fredericton,-66.229,46.448,8,4,4,4,4,0,0,1,652,1059,YFC
Grande Prairie,Canada,Grande Prairie,-118.809,55.299,8,4,5,4,4,0,0,1,495,582,YQU
Sault Sainte Marie,Canada,Sault Ste Marie,-84.183,46.808,8,4,4,4,4,0,0,1,407,478,YAM
Cayo,Cuba,Vilo Acuna Intl,-81.244,22.027,8,4,4,0,1,4,3,0,4310,8299,CYO
Samana,Dominican Republic,Samaná El Catey International Airport,-69.57,19.445,8,4,4,0,0,4,4,0,3964,7123,AZS
Hailey,United States,Friedman Mem,-113.827,43.84,8,4,5,4,4,0,0,1,815,1091,SUN
Gainesville,United States,Gainesville Rgnl,-81.787,30.15,8,4,4,4,4,0,0,1,530,584,GNV
Queretaro,Mexico,Queretaro Intercontinental,-99.643,21.028,8,4,5,1,1,3,3,0,1086,1422,QRO
MONTGOMERY,United States,Montgomery Regional Airport ,-85.99,32.501,8,4,5,4,4,0,0,1,589,976,MGM
Laredo,United States,Laredo Intl,-99.103,27.906,8,4,5,4,4,0,0,1,852,1719,LRD
Fayetteville,United States,Fayetteville Regional Grannis Field,-78.801,35.652,8,4,5,4,4,0,0,1,630,1626,FAY
Evansville,United States,Evansville Regional,-87.221,38.061,8,4,5,4,4,0,0,1,652,970,EVV
Corpus Christi,United States,Corpus Christi Intl,-97.169,28.283,8,4,4,4,4,0,0,1,402,584,CRP
Brownsville,United States,Brownsville South Padre Island Intl,-97.044,26.511,8,4,4,3,3,1,1,0,508,778,BRO
Bush Field,United States,Augusta Rgnl At Bush Fld,-81.941,33.616,8,4,4,4,4,0,0,1,492,1338,AGS
Kerkyra/corfu,Greece,Ioannis Kapodistrias Intl,20.519,40.003,8,4,5,4,4,0,0,1,357,384,CFU
Madurai,India,Madurai,78.155,10.39,8,4,4,4,4,0,0,1,529,821,IXM
Jodhpur,India,Jodhpur,73.081,26.418,8,4,5,4,4,0,0,1,500,809,JDH
Corozal,Colombia,Municipal,-74.81,9.554,8,4,5,4,4,0,0,1,260,506,CZH
Arauca,Colombia,Santiago Perez,-70.562,7.114,8,4,4,4,4,0,0,1,316,397,AUC
Terrace,Canada,Terrace,-128.294,54.78,8,4,5,4,4,0,0,1,484,718,YXT
Quesnel,Canada,Quesnel,-122.184,53.043,8,4,4,4,4,0,0,1,255,414,YQZ
Fort Saint John,Canada,Fort St John,-120.568,56.396,8,4,5,4,4,0,0,1,488,798,YXJ
Charlestown,Saint Kitts and Nevis,Vance Winkworth Amory International Airport,-62.317,17.342,8,4,4,0,0,4,4,0,169,354,NEV
The Valley,Anguilla,Wallblake,-62.426,18.341,8,4,4,0,0,4,4,0,189,309,AXA
Vineyard Haven MA,United States,Martha\\'s Vineyard,-70.359,41.652,8,4,5,4,4,0,0,1,81,106,MVY
Barnstable,United States,Barnstable Muni Boardman Polando Fld,-69.801,42.115,8,4,5,4,4,0,0,1,76,82,HYA
Comodoro Rivadavia,Argentina,Comodoro Rivadavia,-67.11,-45.643,8,4,4,4,4,0,0,1,996,1429,CRD
Bahia Blanca,Argentina,Comandante Espora,-61.616,-38.542,8,4,4,4,4,0,0,1,490,532,BHI
Santa Fe,Argentina,Santa Fe Muni,-60.687,-31.52,8,4,5,4,4,0,0,1,716,1147,SAF
Malatya,Turkey,Erhac,38.151,38.725,8,4,5,4,4,0,0,1,714,813,MLX
Barnaul,Russia,Barnaul,83.897,53.606,8,4,4,4,4,0,0,1,2333,2876,BAX
Camaguey,Cuba,Ignacio Agramonte Intl,-77.746,21.7,8,4,4,2,3,2,1,0,1237,2704,CMW
St. Michael,United States,St. Michael Airport,-161.518,63.816,8,4,4,4,4,0,0,1,49,84,SMK
Point Hope,United States,Point Hope Airport,-166.665,68.581,8,4,5,4,4,0,0,1,197,248,PHO
Brevig Mission,United States,Brevig Mission Airport,-166.11,65.552,8,4,4,4,4,0,0,1,61,91,KTS
Kiana,United States,Bob Baker Memorial Airport,-160.062,67.626,8,4,4,4,4,0,0,1,64,97,IAN
White Mountain,United States,White Mountain Airport,-163.022,65.148,8,4,5,4,4,0,0,1,71,101,WMO
Golovin,United States,Golovin Airport,-162.346,64.917,8,4,4,4,4,0,0,1,59,129,GLV
Savoonga,United States,Savoonga Airport,-170.155,64.144,8,4,5,4,4,0,0,1,162,255,SVA
Gambell,United States,Gambell Airport,-171.555,64.278,8,4,4,4,4,0,0,1,192,315,GAM
Ambler,United States,Ambler Airport,-157.763,67.177,8,4,4,4,4,0,0,1,128,198,ABL
Galcaio,Somalia,Galcaio Airport,47.757,7.301,8,4,5,3,3,1,1,0,682,1451,GLK
Bosaso,Somalia,Bosaso Airport,49.249,11.458,8,5,4,4,3,1,0,0,462,585,BSA
Dibrugarh,India,Dibrugarh Airport,95.028,27.806,8,4,5,4,4,0,0,1,586,820,DIB
Thompson,Canada,Thompson,-97.774,56.335,8,4,4,4,4,0,0,1,419,650,YTH
Pangnirtung,Canada,Pangnirtung,-65.523,66.241,8,4,5,4,4,0,0,1,230,254,YXP
Hall Beach,Canada,Hall Beach,-80.74,69.293,8,4,5,4,4,0,0,1,415,779,YUX
Clyde River,Canada,Clyde River,-68.195,70.81,8,4,4,4,4,0,0,1,575,728,YCY
Spence Bay,Canada,Taloyoak,-93.295,69.911,8,4,5,4,4,0,0,1,480,1209,YYH
Punta del Este,Uruguay,Capitan Corbeta C A Curbelo International Airport,-54.491,-34.759,8,4,5,0,0,4,4,0,639,1534,PDP
Rerrenabaque,Bolivia,Rurrenabaque Airport,-67.164,-14.046,8,4,5,4,4,0,0,1,251,258,RBQ
Guayaramerín,Bolivia,Capitán de Av. Emilio Beltrán Airport,-64.91,-10.701,8,3,5,3,5,0,0,1,364,444,GYA
Malindi,Kenya,Malindi Airport,40.169,-2.716,8,4,5,4,4,0,0,1,278,356,MYD
Puerto Jimenez,Costa Rica,Puerto Jimenez Airport,-82.834,8.888,8,4,5,4,4,0,0,1,170,217,PJM
Golfito,Costa Rica,Golfito,-82.635,9.089,8,4,4,4,4,0,0,1,164,208,GLF
Bocas Del Toro,Panama,Bocas Del Toro Intl,-81.752,9.568,8,4,4,3,3,1,1,0,210,273,BOC
Nulato,United States,Nulato Airport,-157.457,65.215,8,4,5,4,4,0,0,1,59,92,NUL
Koyukuk,United States,Koyukuk Airport,-157.551,65.459,8,4,5,4,4,0,0,1,52,107,KYU
Ciudad Del Carmen,Mexico,Ciudad Del Carmen Intl,-91.666,19.089,8,4,4,2,2,2,2,0,1020,1325,CME
Ciudad Obregon,Mexico,Ciudad Obregon Intl,-109.722,27.654,8,4,4,4,4,0,0,1,1024,1445,CEN
Whitehorse,Canada,Whitehorse Intl,-134.446,61.182,8,4,5,4,4,0,0,1,1253,1699,YXY
Mcgrath,United States,McGrath Airport,-155.344,63.588,8,4,4,4,4,0,0,1,215,375,MCG
Yopal,Colombia,El Alcaraván Airport,-71.974,5.531,8,4,5,4,4,0,0,1,182,182,EYP
Armenia,Colombia,El Eden,-75.611,4.754,8,4,4,3,3,1,1,0,775,2413,AXM
Apartadó,Colombia,Apartadó Airport,-76.667,7.055,8,4,4,4,4,0,0,1,167,167,APO
Venetie,United States,Venetie Airport,-145.944,67.014,8,4,5,4,4,0,0,1,103,201,VEE
Xichang,China,Qingshan,102.307,28.648,8,4,5,4,4,0,0,1,376,492,XIC
Termez,Uzbekistan,Termez Airport,67.516,37.477,8,4,5,1,1,3,3,0,2339,2962,TMJ
Levaldigi,Italy,Levaldigi,8.038,44.911,8,4,5,1,1,3,3,0,1226,1817,CUF
Schefferville,Canada,Schefferville,-66.676,55.342,8,4,4,4,4,0,0,1,505,940,YKL
La Grande Riviere,Canada,La Grande Riviere,-77.507,54.042,8,4,4,4,4,0,0,1,477,960,YGL
Hollis,United States,Hollis Seaplane Base,-132.411,55.802,8,4,5,4,4,0,0,1,42,60,HYL
Ostrava,Czech Republic,Mosnov,18.185,50.16,8,4,4,2,2,2,2,0,252,267,OSR
Tagbilaran,Philippines,Tagbilaran,124.422,10.106,8,4,5,4,4,0,0,1,642,642,TAG
Sangley Point,Philippines,Surigao Airport,125.798,10.262,8,4,5,4,4,0,0,1,577,726,SUG
Laoag,Philippines,Laoag Intl,120.885,18.296,8,4,4,3,3,1,1,0,498,843,LAO
General Santos City,Philippines,General Santos International Airport,125.392,6.177,8,4,4,4,4,0,0,1,928,1075,GES
Calbayog City,Philippines,Calbayog Airport,124.908,12.121,8,4,4,4,4,0,0,1,517,517,CYP
Catarman,Philippines,Catarman National Airport,125.059,12.837,8,4,4,4,4,0,0,1,488,488,CRM
Mariehamn,Finland,Mariehamn,20.496,60.203,8,4,5,3,3,1,1,0,239,283,MHQ
Pucallpa,Peru,Cap Fap David Abenzur Rengifo Intl,-74.291,-7.964,8,4,5,4,4,0,0,1,419,506,PCL
Iquitos,Peru,Coronel Francisco Secada Vignetta Intl,-72.849,-3.642,8,4,4,4,4,0,0,1,712,949,IQT
Bugulma,Russia,Bugulma Airport,53.336,55.066,8,4,5,4,4,0,0,1,1053,1538,UUA
Chisasibi,Canada,Chisasibi Airport,-78.862,54.342,7,3,5,3,4,0,0,1,179,284,YKU
Zweibruecken,Germany,Zweibruecken,7.668,49.349,7,3,5,0,1,3,3,0,2645,3121,ZQW
Summer Beaver,Canada,Summer Beaver Airport,-88.237,53.181,7,4,3,4,3,0,0,1,185,415,SUR
Rørvik,Norway,Ryum Airport,11.243,65.397,7,3,5,3,4,0,0,1,140,199,RVK
Namsos,Norway,Namsos Høknesøra Airport,11.964,64.787,7,4,4,4,3,0,0,1,139,233,OSY
Berlevag,Norway,Berlevag,29,71.444,7,4,4,4,3,0,0,1,96,177,BVG
Stokmarknes,Norway,Skagen,15.043,68.968,7,4,4,4,3,0,0,1,140,217,SKN
Moorea,French Polynesia,Moorea,-149.604,-17.15,7,3,5,3,4,0,0,1,134,242,MOZ
Pangkalan Bun,Indonesia,Iskandar,112.122,-2.509,7,3,5,3,4,0,0,1,398,651,PKN
Rahim Yar Khan,Pakistan,Sheikh Zayed,70.465,28.639,7,4,4,4,2,0,1,0,673,1587,RYK
Lonorore,Vanuatu,Lonorore Airport,168.286,-15.776,7,4,3,4,3,0,0,1,130,193,LNE
Nyala,Sudan,Nyala Airport,25.593,12.089,7,5,3,5,2,0,0,1,673,901,UYL
Friday Harbor,United States,Friday Harbor Seaplane Base,-122.35,48.895,7,4,4,4,3,0,0,1,89,132,FBS
Stronsay,United Kingdom,Stronsay Airport,-2.403,59.258,7,3,5,3,4,0,0,1,33,46,SOY
Sanday,United Kingdom,Sanday Airport,-2.295,59.417,7,3,5,3,4,0,0,1,29,36,NDY
Westray,United Kingdom,Westray Airport,-2.917,59.583,7,4,4,4,3,0,0,1,20,46,WRY
Eday,United Kingdom,Eday Airport,-2.621,59.317,7,4,3,4,3,0,0,1,34,45,EOI
Gizo,Solomon Islands,Nusatupe Airport,157.44,-7.497,7,3,5,3,4,0,0,1,184,338,GZO
Latakia,Syria,Bassel Al Assad Intl,36.581,35.668,7,3,4,1,1,2,3,0,1203,2155,LTK
Lalibella,Ethiopia,Lalibella,39.633,12.625,7,4,4,4,3,0,0,1,241,334,LLI
Caxias Do Sul,Brazil,Campo Dos Bugres,-50.646,-28.662,7,3,4,3,4,0,0,1,637,813,CXJ
Val D'or,Canada,Val D Or,-77.638,48.088,7,4,4,4,3,0,0,1,360,417,YVO
Smithers,Canada,Smithers,-126.638,55.374,7,4,4,4,3,0,0,1,490,725,YYD
Zhijiang,China,Zhijiang Airport,110.166,27.735,7,3,4,3,4,0,0,1,699,1240,HJJ
Emmonak,United States,Emmonak Airport,-164.152,63.31,7,3,5,3,4,0,0,1,103,256,EMK
Homer,United States,Homer,-151.128,60.075,7,3,5,3,4,0,0,1,157,211,HOM
Nanyuki,Kenya,Nanyuki Civil Airport,37.055,0.555,7,3,4,3,4,0,0,1,181,286,NYK
Kisumu,Kenya,Kisumu,35.214,0.523,7,3,4,3,4,0,0,1,262,301,KIS
Kwigillingok,United States,Kwigillingok Airport,-162.615,60.46,7,3,5,3,4,0,0,1,59,104,KWK
Kaltag,United States,Kaltag Airport,-158.569,64.531,7,4,4,4,3,0,0,1,100,110,KAL
Hughes,United States,Hughes Airport,-153.775,66.065,7,4,4,4,3,0,0,1,158,285,HUS
Angling Lake,Canada,Wapekeka Airport,-89.299,54.415,6,3,4,3,3,0,0,1,206,500,YAX
Webequie,Canada,Webequie Airport,-86.949,53.599,6,3,4,3,3,0,0,1,293,569,YWP
Round Lake,Canada,Round Lake (Weagamow Lake) Airport,-90.855,53.572,6,3,4,3,3,0,0,1,198,382,ZRJ
Bearskin Lake,Canada,Bearskin Lake Airport,-90.379,54.609,6,3,4,3,3,0,0,1,223,501,XBE
Muskrat Dam,Canada,Muskrat Dam Airport,-91.605,53.735,6,3,3,3,3,0,0,1,87,125,MSA
Wunnumin Lake,Canada,Wunnumin Lake Airport,-88.816,53.489,6,3,4,3,3,0,0,1,61,81,WNN
Abbotsford,Canada,Abbotsford,-121.935,49.042,6,3,4,2,2,1,1,0,1630,3456,YXX
Natashquan,Canada,Natashquan,-61.649,50.316,6,3,4,3,3,0,0,1,174,292,YNA
St-Augustin,Canada,St Augustin Airport,-58.431,51.352,6,3,4,3,3,0,0,1,86,130,YIF
Sandane,Norway,Anda Airport,6.176,62.383,6,2,5,2,4,0,0,1,182,350,SDN
Honningsvag,Norway,Valan,26.383,71.65,6,3,4,3,3,0,0,1,131,300,HVG
Vardø,Norway,Svartnes Airport,31.074,70.592,6,3,4,3,3,0,0,1,54,59,VAW
Forde,Norway,Forde Bringeland,5.75,61.416,6,4,3,4,2,0,0,1,172,317,FDE
Manihi,French Polynesia,Manihi,-145.451,-14.062,6,2,5,2,4,0,0,1,327,548,XMH
Tubuai,French Polynesia,Tubuai,-149.207,-22.943,6,3,4,3,3,0,0,1,345,631,TUB
Rurutu,French Polynesia,Rurutu,-150.935,-22.057,6,3,4,3,3,0,0,1,314,558,RUR
Tikehau,French Polynesia,Tikehau,-147.718,-14.533,6,4,3,4,2,0,0,1,250,448,TIH
Maupiti,French Polynesia,Maupiti,-151.74,-16.045,6,3,4,3,3,0,0,1,130,288,MAU
Ua Pou,French Polynesia,Ua Pou Airport,-139.464,-8.92,6,3,4,3,3,0,0,1,69,144,UAP
Ua Huka,French Polynesia,Ua Huka Airport,-139.254,-8.894,6,3,4,3,3,0,0,1,69,127,UAH
Can Tho,Vietnam,Trà Nóc Airport,106.186,10.141,6,3,4,3,3,0,0,1,520,1248,VCA
Sfax,Tunisia,Thyna,11.151,35.196,6,3,4,2,2,1,1,0,672,1678,SFA
Inhambane,Mozambique,Inhambane,35.68,-23.795,6,3,3,2,2,1,1,0,463,760,INH
Sao Joao del Rei,Brazil,Aeroporto Prefeito Octavio de Almeida Neves,-43.71,-20.478,6,3,4,3,3,0,0,1,179,264,JDR
Hail,Saudi Arabia,Hail,42.143,27.729,6,3,4,3,3,0,0,1,684,815,HAS
Nejran,Saudi Arabia,Nejran,44.698,18.019,6,3,4,3,3,0,0,1,914,1133,EAM
Bisha,Saudi Arabia,Bisha,43.034,20.64,6,3,3,3,3,0,0,1,709,1008,BHH
El-baha,Saudi Arabia,Al Baha,42.057,20.493,6,3,3,3,3,0,0,1,736,1094,ABT
Flores (flores Isl.),Portugal,Flores,-30.553,39.758,6,3,4,3,3,0,0,1,197,353,FLW
Wallis,Wallis and Futuna,Wallis,-175.666,-12.731,6,3,4,1,1,2,2,0,1085,2135,WLS
Ulan-ude,Russia,Mukhino,107.729,52.346,6,3,4,3,3,0,0,1,1934,4347,UUD
Santa Maria (island),Portugal,Santa Maria,-24.618,37.618,6,3,4,3,3,0,0,1,538,1408,AJU
Porto Santo,Portugal,Porto Santo,-15.917,33.122,6,3,4,3,3,0,0,1,656,952,PXO
Waterford,Ireland,Waterford,-6.479,52.312,6,3,4,0,0,3,3,0,435,522,WAT
Vagar,Faroe Islands,Vagar,-6.796,62.106,6,3,4,0,0,3,3,0,1075,1314,FAE
Pokhara,Nepal,Pokhara,84.636,28.334,6,3,4,3,3,0,0,1,96,96,PKR
