"city name","country name","most active airport","long. most active airport","lat. most active airport","number of routes","number incoming flights","number outcoming flights","number incoming domestic flights","number outcoming domestic flights","number incoming international flights","number outcoming international flights","only domestic flights","average distance","max. distance","airportCode"
Santa Rosa,Argentina,Charles M Schulz Sonoma Co,-63.793,-36.314,18,9,9,9,9,0,0,1,581,991,STS
Johor Bahru,Malaysia,Sultan Ismail,104.116,2.068,18,9,10,9,9,0,0,1,649,1417,JHB
Bandung,Indonesia,Husein Sastranegara,107.96,-6.835,18,9,9,3,3,6,6,0,1033,1547,BDO
Perm,Russia,Bolshoye Savino,56.035,58.524,18,9,9,8,8,1,1,0,1281,2380,PEE
Sibiu,Romania,Sibiu,24.152,46.309,18,9,10,4,4,5,5,0,530,924,SBZ
Kittila,Finland,Kittila,25.411,68.168,18,9,10,8,8,1,1,0,841,2464,KTT
Rennes,France,St Jacques,-1.558,48.115,18,9,10,7,7,2,2,0,513,819,RNS
Yancheng,China,Yancheng Airport,120.208,33.642,18,9,10,4,4,5,5,0,856,1356,YNZ
Moncton,Canada,Greater Moncton Intl,-64.465,46.187,18,9,10,6,6,3,3,0,1135,3450,YQM
Deer Lake,Canada,Deer Lake,-56.986,49.351,18,10,8,10,8,0,0,1,1265,2588,YDF
Basse Terre,Saint Kitts and Nevis,Robert L Bradshaw,-62.532,17.518,18,9,10,0,0,9,9,0,1589,3352,SKB
Rapid City,United States,Rapid City Regional Airport,-102.429,44.075,18,9,10,9,9,0,0,1,991,1407,RAP
Morelia,Mexico,General Francisco J Mujica Intl,-100.376,20.416,18,9,10,3,3,6,6,0,1465,2733,MLM
Midland,United States,Midland Intl,-101.67,32.57,18,9,10,9,9,0,0,1,730,1249,MAF
Grand Junction,United States,Grand Junction Regional,-108.212,39.204,18,9,10,9,9,0,0,1,860,1539,GJT
Kharkov,Ukraine,Osnova International Airport,36.483,50.541,18,9,9,2,2,7,7,0,1436,3236,HRK
Ranchi,India,Birsa Munda,85.536,23.523,18,9,10,9,9,0,0,1,930,1342,IXR
Mendoza,Argentina,El Plumerillo,-68.655,-32.72,18,10,9,8,6,2,2,0,655,988,MDZ
Comox,Canada,Comox,-124.812,50.184,18,9,10,8,8,1,1,0,671,3677,YQQ
Quibdo,Colombia,El Carano,-76.402,6.151,18,9,10,9,9,0,0,1,229,330,UIB
Cartagena,Colombia,Rafael Nunez,-75.189,10.737,18,9,10,6,6,3,3,0,869,1799,CTG
Wanxian,China,Wanxian Airport,108.676,31.393,18,9,10,9,9,0,0,1,1021,1297,WXN
Zamboanga,Philippines,Zamboanga Intl,122.099,7.537,18,9,10,9,9,0,0,1,564,821,ZAM
Ras Al Khaimah,United Arab Emirates,Ras Al Khaimah Intl,56.564,26.022,17,7,11,0,0,7,10,0,2230,3640,RKT
Quetta,Pakistan,Quetta,67.562,30.418,17,9,9,7,6,2,2,0,637,1298,UET
Red Lake,Canada,Red Lake Airport,-93.656,51.111,17,8,10,8,9,0,0,1,316,2588,YRL
Puerto Montt,Chile,El Tepual Intl,-72.49,-41.065,17,9,9,9,8,0,0,1,797,1260,PMC
Banjarmasin,Indonesia,Syamsudin Noor,115.27,-3.071,17,8,9,8,9,0,0,1,647,947,BDJ
Chita,Russia,Kadala,113.509,52.043,17,9,9,7,6,2,2,0,1800,4690,HTA
Gaberone,Botswana,Sir Seretse Khama Intl,26.53,-24.259,17,9,9,3,3,6,5,0,1107,2858,GBE
Jiamusi,China,Jiamusi Airport,130.775,47.405,17,8,10,8,9,0,0,1,1376,1935,JMU
Manzanillo,Mexico,Playa De Oro Intl,-104.265,19.241,17,9,9,2,3,7,5,0,1853,3724,ZLO
Fort Mcmurray,Canada,Fort Mcmurray,-110.704,57.088,17,8,10,8,9,0,0,1,809,2602,YMM
Mammoth Lakes,United States,Mammoth Yosemite Airport,-118.73,38.04,17,9,9,9,8,0,0,1,389,567,MMH
Amritsar,India,Amritsar,75.328,32.182,17,9,8,4,3,5,5,0,1168,2393,ATQ
Roadtown/beef Island,British Virgin Islands,Terrance B Lettsome Intl,-64.239,18.741,17,8,9,0,0,8,9,0,184,479,EIS
Surgut,Russia,Surgut,73.669,61.572,17,9,9,7,7,2,1,0,1339,2537,SGC
Churchill,Canada,Churchill,-93.442,59.231,17,9,9,9,8,0,0,1,482,991,YYQ
Whale Cove,Canada,Whale Cove Airport,-92.331,62.4,17,8,10,8,9,0,0,1,190,357,YXN
Arica,Chile,Chacalluta,-69.898,-17.915,17,8,10,6,6,2,3,0,507,1677,ARI
Tampico,Mexico,General Francisco Javier Mina Intl,-97.777,22.494,17,8,10,6,7,2,2,0,498,949,TAM
Quujjuaq,Canada,Kuujjuaq,-68.045,58.16,17,9,9,9,8,0,0,1,489,1426,YVP
Islip,United States,Long Island Mac Arthur,-72.501,41.325,16,8,8,8,8,0,0,1,1109,1811,ISP
Monastir,Tunisia,Habib Bourguiba Intl,11.257,36.263,16,8,9,1,1,7,7,0,1181,1769,MIR
Alice Springs,Australia,Alice Springs,134.503,-23.678,16,8,9,8,8,0,0,1,1517,1988,ASP
Mount Isa,Australia,Mount Isa,139.814,-20.44,16,8,9,8,8,0,0,1,1120,1630,ISA
Hatay,Turkey,Hatay Airport,36.47,36.604,16,8,9,4,4,4,4,0,843,1631,HTY
Norfolk Island,Norfolk Island,Norfolk Island Intl,168.564,-28.403,16,9,8,0,0,9,7,0,1749,2375,NLK
Forli,Italy,Forli,12.116,44.324,16,8,8,0,0,8,8,0,903,1127,FRL
Magadan,Russia,Sokol,151.2,60.518,16,8,8,8,8,0,0,1,2843,5812,GDX
Godthaab,Greenland,Nuuk,-51.464,64.318,16,8,8,7,7,1,1,0,528,1414,GOH
Oita,Japan,Oita,132.228,33.799,16,8,9,7,7,1,1,0,527,813,OIT
Lodz,Poland,Łódź Władysław Reymont Airport,19.663,52.203,16,8,9,0,0,8,8,0,1323,1703,LCJ
Taiz,Yemen,Taiz Intl,44.231,14.143,16,8,9,2,2,6,6,0,873,2200,TAI
Bourgas,Bulgaria,Burgas,27.858,42.949,16,8,8,1,1,7,7,0,1323,3186,BOJ
Baghdad,Iraq,Baghdad International Airport,44.39,33.437,16,8,8,0,0,8,8,0,1331,2807,BGW
Szczechin,Poland,Goleniow,15.503,53.974,16,8,9,4,4,4,4,0,775,1391,SZZ
